DISTRITO FEDERAL,DEPUTADO DISTRITAL,27001,IRENE TEODORO MOREIRA DE MORAIS,IRENE,27,DC,DEMOCRACIA CRISTÃ
DISTRITO FEDERAL,DEPUTADO DISTRITAL,65180,IVANETE ALVES OLIVEIRA,SANTA ALVES,65,PC do B,PARTIDO COMUNISTA DO BRASIL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,17111,MATHEUS FELIPE LOPES FERREIRA,MATHEUS LOPES,17,PSL,PARTIDO SOCIAL LIBERAL
DISTRITO FEDERAL,DEPUTADO FEDERAL,5499,FLAUZINO ANTUNES NETO,FLAUZINO ANTUNES,54,PPL,PARTIDO PÁTRIA LIVRE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,35389,FLAVIA CONCEICAO DOS REIS,FLAVIA REIS,35,PMB,PARTIDO DA MULHER BRASILEIRA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,20000,IOLANDO ALMEIDA DE SOUZA,IOLANDO,20,PSC,PARTIDO SOCIAL CRISTÃO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,77001,FRANCISCO DAS CHAGAS LIMA RAMOS,ENGENHEIRO FRANCISCO,77,SOLIDARIEDADE,SOLIDARIEDADE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,18444,NATANAEL SAULO DA SILVA PEREIRA,NATANAEL SAULO,18,REDE,REDE SUSTENTABILIDADE
DISTRITO FEDERAL,SEGUNDO SUPLENTE,133,IOLANDA RODRIGUES ROCHA,IOLANDA RODRIGUES  ROCHA,13,PT,PARTIDO DOS TRABALHADORES
DISTRITO FEDERAL,DEPUTADO DISTRITAL,45555,DIEGO LUIZ DE SOUSA ARRUDA,DIEGO ARRUDA,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,33030,MARYLIA TAVARES DA SILVA,MARYLIA TAVARES,33,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,36373,PAULO HENRIQUE DE SOUSA,PH PAULO HENRIQUE,36,PTC,PARTIDO TRABALHISTA CRISTÃO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,40105,MARLON ANDERSON COSTA,MARLON COSTA,40,PSB,PARTIDO SOCIALISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,31347,MARCIA DE ALMEIDA FERRAZ,MARCINHA TAXISTA,31,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,44321,KLESLEY GARCIA SOARES,KLESLEY GARCIA,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,33444,NILZA SOARES GOMES,NILZA GOMES,33,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,33633,SILVANA ARAUJO SANTOS,SILVANA SANTOS,33,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,51140,ANDERSON DA SILVA LOPES,ANDERSON LOPES,51,PATRI,PATRIOTA
DISTRITO FEDERAL,DEPUTADO FEDERAL,1421,FLAVIO CORREIA DE SOUSA,FLAVIO CORREIA,14,PTB,PARTIDO TRABALHISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO FEDERAL,9033,MANOEL PEREIRA XAVIER,PASTOR MANOEL,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,17999,SARAH AIDAR MARIANO REGO,SARAH AIDAR,17,PSL,PARTIDO SOCIAL LIBERAL
DISTRITO FEDERAL,DEPUTADO FEDERAL,1813,OLAVO BATISTA DA SILVA,KAMUU DAN,18,REDE,REDE SUSTENTABILIDADE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,11011,CARINA SALES DOS SANTOS,CARINA SALES,11,PP,PARTIDO PROGRESSISTA
DISTRITO FEDERAL,DEPUTADO FEDERAL,3635,LURI SAEKI,LURI SAEKI,36,PTC,PARTIDO TRABALHISTA CRISTÃO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,90904,VANIA APARECIDA COELHO,VANIA COELHO,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,23400,CHRISTIANE QUINTILIANO FERNANDES DE BRITO,CHRIS QUINTILIANO,23,PPS,PARTIDO POPULAR SOCIALISTA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,55022,MARIA DE LOURDES CANDIDO DE SOUZA,LURDINHA CANDIDO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,22046,WINSTON ALVES DA COSTA DORTA,WINSTON COSTA,22,PR,PARTIDO DA REPÚBLICA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,18181,ENILDE NERES MARTINS,ENILDE NERES ,18,REDE,REDE SUSTENTABILIDADE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,14432,ZUILA SOEIRO FONSECA,ZUILA,14,PTB,PARTIDO TRABALHISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,65222,ELIAS SILVA ARAUJO,PROFESSOR ELIAS,65,PC do B,PARTIDO COMUNISTA DO BRASIL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,36555,JOSE ANTONIO CRUZ GUIMARAES,TOM GUIMARAES,36,PTC,PARTIDO TRABALHISTA CRISTÃO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,70093,WILKERSON FERREIRA DA SILVA,WILKERSON FERREIRA,70,AVANTE,AVANTE
DISTRITO FEDERAL,DEPUTADO FEDERAL,5013,EDISON PINTO DE OLIVEIRA,EDISON CEILANDIA,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,11117,DANIEL SILVA DE ARAUJO,PROFESSOR DANIEL ARAUJO,11,PP,PARTIDO PROGRESSISTA
DISTRITO FEDERAL,PRIMEIRO SUPLENTE,444,ROBERTA MACEDO FRAYSSAT,ROBERTA MACEDO,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA
DISTRITO FEDERAL,DEPUTADO FEDERAL,7077,GIULIANE SAMPAIO DIAS DE OLIVEIRA,GIULIANE DIAS DA CEILANDIA,70,AVANTE,AVANTE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,17190,IVAN SOARES PEREIRA,IVAN SOARES,17,PSL,PARTIDO SOCIAL LIBERAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,14154,WILYE GOMES DE CAMPOS,WILYE CAMPOS,14,PTB,PARTIDO TRABALHISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,36100,JOSE CARLOS SANTIAGO GUIMARAES,POLICIAL FEDERAL SANTIAGO,36,PTC,PARTIDO TRABALHISTA CRISTÃO
DISTRITO FEDERAL,DEPUTADO FEDERAL,1616,ELCIMARA AUGUSTO DE SOUZA,ELCIMARA,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,15600,MARLI LOURDES DA SILVA CAMPOS,MARLI CAMPOS,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,40400,RODRIGO OLIVEIRA DE CASTRO DIAS,RODRIGO DIAS,40,PSB,PARTIDO SOCIALISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,23321,ANDYARA BAGATINI DIEGUEZ BARREIRO,ANDYARA,23,PPS,PARTIDO POPULAR SOCIALISTA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,40513,SIMONE NUNES DE SANTANA,SIMONE SANTANA,40,PSB,PARTIDO SOCIALISTA BRASILEIRO
